id	pred	
1:	['重合', '网关', '接触器']
775:	['电子商务', '实验', '实训']
776:	['离心机', '渐变', '卧螺']
777:	['反光', '吊装带', '培训']
778:	['玻璃瓶', '膏霜瓶', '乳化']
779:	['自控', '风力', '中央空调']
780:	['线束', '灯饰', '折叠式']
781:	['紧固件', '机械', '松动']
782:	['桌腿', '机械锁', '双脚']
783:	['工业用', '打捞', '焚烧']
784:	['点火', '套锁', '限位器']
785:	['B', '双端', '景观']
786:	['灌装机', '干燥剂', '理盖机']
787:	['拉马', '黄油枪', '气动工具']
788:	['抗黄变', 'ABS', '90']
789:	['丝光', '送线', '羊毛']
790:	['自带', '验光', '自由度']
791:	['酸性染料', '固液', '混']
792:	['器件', '集成电路', '负']
793:	['围栏', '骑行', '通讯设备']
794:	['硅橡胶', '脱醇', '室温']
795:	['内藏式', '收放', '保险箱']
796:	['淋浴', '尼龙', '编织']
797:	['单杆', '闭合', '配电柜']
798:	['挡边', '混', '型材']
799:	['印制', '线路板', '散热片']
800:	['调味', '营养', '奶粉']
801:	['车速', '保险丝', '学习']
802:	['孔化', '线路板', 'PCB']
803:	['转向节', '封口机', '捡拾']
804:	[]
805:	['巯基', '抗体', '多价']
806:	['舒缓', '冷敷', '包装袋']
807:	['逆流', '阶梯', '水价']
808:	['蛇骨', '导管', '钳']
809:	['远程', '鞋子', '探测']
810:	['补胎', '混', '聚酯纤维']
811:	['管用', '型材', '玻璃钢']
812:	['转轴', '有刷', '永磁']
813:	['用途', '骨', '血糖']
814:	['双极', '旋流', '碳纤维']
815:	['救援', '充气式', '巡逻']
816:	['铣刀', '铝合金', '铸锻']
817:	[]
818:	[]
819:	['生料', '聚四氟乙烯', 'PTFE']
820:	[]
821:	['笼具', '实验', '小鼠']
822:	['同步电机', '退齿式', '外线']
823:	['波纹管', '体式', '双阀']
824:	['双金属片', '塑封', '热得快']
825:	['压电', '散热器', '片涂']
826:	['钢背', '打孔机', '刹车片']
827:	['宽度', '线路板', 'PCB']
828:	['模内', '奶粉', '果蔬']
829:	['亚麻', '机上', '天然气']
830:	['施工', '桥面', '钢结构']
831:	['LSF07', 'LST02', '敲打']
832:	['导电体', '连接器', '模数']
833:	[]
834:	['公用', '灌溉', '支付']
835:	['高车', '重式', '平台车']
836:	['变径', '烟管', '热水器']
837:	[]
838:	['按钮开关', '微动', '船型']
839:	['球化剂', '层面', '井盖']
840:	['机上', '纱筒', '纺纱']
841:	['刺绣', '多头', 'Y']
842:	['模具钢', '特种', '电阻']
843:	['丝机', '冲压件', '打孔机']
844:	['监控器', '屏蔽', '防火']
845:	['热升华', '吸油型', '油纸']
846:	['段', '冲压件', '五金']
847:	['风力', '拉链', '链带']
848:	['轻质', '预制', '多个']
849:	[]
850:	['仿生', '人手', '支持']
851:	['钢丸', '耐磨性', '粗']
852:	['助步器', '前轮', '助行器']
853:	[]
854:	[]
855:	['健身器', '椭圆', '仰卧']
856:	['电缆线', '化工泵', '减速机']
857:	['铁齿', '淬火装置', '挖掘机']
858:	['花环', '毛条', '贴装']
859:	['油机', '气缸', '爪']
860:	['破', '钳', '钢筋']
861:	['导热油', '基布', '压花']
862:	['淋浴屏', '储液', '淋浴']
863:	['强制', '试件', '振动台']
864:	[]
865:	['转向器', '蜗杆', '蜗轮']
866:	['最大', '人员', '似然']
867:	['包塑', '输变电', '编织']
868:	['502', '碗型', '撕盖']
869:	['挂绳', '丝杆', '粗']
870:	['DF', '大灯', '头灯']
871:	['主体', '枪头', '焊机']
872:	['包装袋', '茶叶', '编织袋']
873:	[]
874:	['制鞋', '聚氨酯', '女式']
875:	['转轴', '磁条', '喷房']
876:	['齿条', '机械传动', '实训']
877:	[]
878:	['电缆线', '挤', '缆线']
879:	['真空泵', '减速', '聚氨酯']
880:	['扩口', '高分子', '阻燃剂']
881:	['制砂机', '锤式', '帘']
882:	['水系', '灭火剂', '泡沫']
883:	['屏', '指示牌', '出租车']
884:	['方帽', '闸阀', '性']
885:	['二维码', '门', '狭窄']
886:	['盲区', '作业', '毫米波']
887:	['游戏', '电线', '数字电视']
888:	['放大器', '跨阻', '张弛']
889:	['二维码', '存储', '支付']
890:	['码', '验证', '字节']
891:	['管件', '帽', '金属管']
892:	['调绘', 'GPS', '数码']
893:	['智能网', '光线', '网关']
894:	['资产', '发现', '网页']
895:	['收纳袋', '拉杆', '拉杆箱']
896:	['起吊', '八', '三角型']
897:	['体温计', '心电', '霍尔']
898:	['编带', '霍尔', '编带机']
899:	['冲片', '同步电机', '端板']
900:	[]
901:	['轴封', '切断阀', '低温泵']
902:	['车道', '网关', '无线通信']
903:	['门', '充电器', '登机牌']
904:	[]
905:	['水槽', '积木', '橡皮泥']
906:	['石膏', '渗', '淋浴']
907:	['型腔', '换向器', '压铸模']
908:	['钳', '前端', '分型']
909:	['注蜡', '拔叉', '喷砂']
910:	['骨架', '前轮', '遮阳棚']
911:	['络筒机', '纺纱', '棉条']
912:	['密闭', '变频器', '三防全']
913:	['吸湿', '排汗', '记忆']
914:	['病疵', '触摸屏', '卡合']
915:	[]
916:	[]
917:	[]
918:	['显示屏', '拼装', '活跃度']
919:	['时', '漏电', '浇注']
920:	[]
921:	['配制', '少水', '双边']
922:	['散热器', 'VOC', '电场']
923:	['管件', '龙头', 'Y']
924:	[]
925:	['补胎', '充气泵', '充电器']
926:	['机织', '扩张', '张紧力']
927:	['滤芯', '级', '卫生']
928:	['通信', '预制', '挂墙']
929:	['屏', '锁管', '弹子']
930:	['减震器', '冲压件', '流通']
931:	['生石灰', '预应力', '水泥砂浆']
932:	['皮带', '动态', '滑块']
933:	['缸盖', '电镐', '脱扣']
934:	['传动装置', '加弹机', '纱机']
935:	['变电站', '开关柜', '配电箱']
936:	['谐波', '高铁', '变频器']
937:	['灌溉', '砖', '砌块']
938:	['船', '乳化', '氨基']
939:	['切片机', '热水器', '净化器']
940:	['用途', '疤痕', '减张']
941:	['皮毛', '复合型', '麂皮']
942:	['流失', '纸卷', '网部']
943:	['采水', '污染物', '恶']
944:	['软', '交流', '90']
945:	['粉末冶金', '刻刀', '基体']
946:	['顶部', '感烟', '进烟']
947:	['正极', '单体', '圆柱']
948:	['分子筛', '灭火', '电解液']
949:	['舒缓', '照明灯', '灯泡']
950:	['体温计', '测温', '颈']
951:	['地膜', '灌溉', '苗木']
952:	['行程开关', '顶压', '窗框']
953:	['滑板', '平面磨床', 'CNC']
954:	['纺织机械', '抗污', '长效']
955:	['倒', '导纱', '存储']
956:	['车载', '车速', '信息']
957:	[]
958:	['泡沫', '油桶', '试管']
959:	['酸碱', '行业', 'VOC']
960:	[]
961:	['抗氧化', '换热器', '弧形']
962:	['加弹机', 'DTY', '原丝架']
963:	['压入机', '拉杆箱', '钢珠']
964:	['高铁', '六角', '太阳光']
965:	['钴胺素', '结合体', '辐照']
966:	['骨架', '气罐', '压力容器']
967:	['电线', '漆包线', '卷线']
968:	['分闸', '变电站', '基础']
969:	['废弃物', '集成电路', '限重']
970:	['教育', '课堂', '校园']
971:	['熔接', '张力器', '胶带']
972:	['坯板', '套圈', '脱油']
973:	['管柱', '抗氧化', '下管柱']
974:	['数传', '终端设备', '联网']
975:	['防护门', '排插', '接线板']
976:	['皮毛', '丝网', '干粉']
977:	['横移', '混凝土', '防腐蚀']
978:	['炉用', '干砂', '存储']
979:	['聚酯', '色母粒', '黑']
980:	[]
981:	['并行传输', '时间', '排卵']
982:	['淬火', '炉门', '轻质']
983:	['量子', '高分子', '燃气管']
984:	['播放', '电子装置', '多个']
985:	['扣板', '弧形', '型材']
986:	['石膏', '沸腾', '炉用']
987:	['站', '存储', '臭氧']
988:	['胎压', '高端', 'PCB']
989:	['涂复', '耐酸碱', '抛丸机']
990:	['压力锅', '电饭煲', '锅盖']
991:	['水槽', '龙头', '净水机']
992:	['热能', '压力表', '检定']
993:	['集成电路', '存储', '腔']
994:	['毛绒', '装饰布', '窗帘布']
995:	['焊条', '聚四氟乙烯', '波纹']
996:	['烟用', '聚丙烯', '接装纸']
997:	['门', '楼承板', '桁架']
998:	['环境空气', '试管', '滤膜']
999:	['磁芯', '铁氧体', '软磁']
1000:	['超柔', '抗皱', '坯布']
1001:	['装饰布', '编织', '段']
1002:	['逆流', '组网', '环网']
1003:	['底部', '前端', '储物盒']
1004:	['举升机', '门', '吊机']
1005:	['飞行器', '尾部', '涂装']
1006:	[]
1007:	['铝型材', '铝合金', '油压']
1008:	[]
1009:	['攻牙机', '圆柱', '包装机']
1010:	['信号灯', '终端设备', '衍射']
1011:	['数码', '运动服', '经编']
1012:	['遮蔽', '换气扇', '扣板']
1013:	['发电机', '水轮机', '微机']
1014:	['喷洒', '农田', '黑']
1015:	['超柔', '蓬松', '验布机']
1016:	['灌装机', '超净', '酸度计']
1017:	[]
1018:	['电器', '六角', '内六角']
1019:	['焊接设备', '运载', '接触器']
1020:	[]
1021:	['电器', '一款', '灯杆']
1022:	['上料机', '送料机', '五金']
1023:	['泡泡', '窗帘布', '中断']
1024:	['3D', '远程', '小车']
1025:	['导杆', 'ABS', '深孔']
1026:	['芬顿', '预处理', '气浮']
1027:	['磨边', '钢化玻璃', '纸袋']
1028:	['层压板', '电器', '玻璃钢']
1029:	['双色', '绝缘子', '模内']
1030:	['塑料瓶', '塑胶片', '饮料瓶']
1031:	['抗皱', '线纱', '提花']
1032:	['不干胶', '聚丙烯', '热敏']
1033:	['四爪', '螺栓', '防松']
1034:	['泡沫', '耐火材料', '聚氨酯']
1035:	['防眩目', '后视镜', '眼镜']
1036:	['变电站', '电力工程', '高低压']
1037:	['彻底', '六角', '内六角']
1038:	['自检', '桩', '电池组']
1039:	['密码锁', '拉链', '腔']
1040:	['ABS', 'PC', '拉杆箱']
1041:	['包芯纱', '吸湿', '泡泡']
1042:	['阶梯', '色谱', '试管']
1043:	['停机', '高质量', '型材']
1044:	['段', '淋浴房', '分体']
1045:	['啤酒', '精酿', '干']
1046:	['冷藏', '冷敷', '记忆']
1047:	['机上', '磁粉', '包装机']
1048:	['骨架', '混', '预制']
1049:	['轿厢', '倒角', '改进']
1050:	['铝合金', '鼠笼式', '模锻']
1051:	['铝合金', '写真机', '机体']
1052:	['用纸', '堆放', '压花']
1053:	['尼龙', '拉杆箱', '轻质']
1054:	['冷凝', '发生器', '纯水']
1055:	['ABS', 'PC', '拉杆箱']
1056:	['轮辋', '钢圈', '抗压']
1057:	['垫板', '不锈钢材', 'CNC']
1058:	['投球', '乒乓球', '沙包']
1059:	[]
1060:	['超感纸', '牛皮纸', '复合型']
1061:	['分开', '拉链', '拉链头']
1062:	['不干胶', '吊牌', '热切']
1063:	['苯甲酸', '电场', '工业化生产']
1064:	['发色剂', '腌制', '猪肉']
1065:	['烤', '波纹', '五金']
1066:	['磁芯', '铁氧体', '软磁']
1067:	['亚克力', '椭圆', '塑料软管']
1068:	['准确', '门', '导光板']
1069:	['复合型', '拉链', '拉杆箱']
1070:	['打孔机', '收', '包边机']
1071:	['粉末冶金', '钳', '钳头']
1072:	['粗纱机', '络筒机', '腈纶']
1073:	['小圆机', '卷轴', '收']
1074:	['五角', '钻尾', '拧']
1075:	['压力容器', '高可靠性', '高端']
1076:	['洗地器', '枪头', '锁扣']
1077:	['计时器', '彩票', '集成电路']
1078:	['动力', '充电机', '内带']
1079:	['钢圈', '袜', '服装']
1080:	['涂料', '聚合物', 'SiO']
1081:	['六角', '丝机', '拉直']
1082:	['扣板', '墙体', '高韧性']
1083:	['充电器', 'USB', 'SFC']
1084:	['电子装置', '冲压件', '鼠笼式']
1085:	['立柱', '钢板', '桁架']
1086:	['车道', '减速带', '减速']
1087:	['刀架', '打孔机', 'CNC']
1088:	['管件', '剪导卫', '钢棍']
1089:	['数码', '高质量', '油墨']
1090:	['谐波', '适配', '减速机']
1091:	['骨架', '3D', '贴片机']
1092:	['锻', '滑块', '模板']
1093:	['不干胶', '印刷纸', '后用']
1094:	['涂料', '热能', '过滤网']
1095:	['超净', '空间布局', '板房']
1096:	['封边', '菱形', '包装袋']
1097:	['便', '燃料', '健身']
1098:	['齿式', '耐磨性', '锯条']
1099:	['瓦楞纸', '抗压', '瓦楞纸板']
1100:	['天', '散热器', '热水器']
1101:	['感应器', '车况', '汽车']
1102:	['装饰板', '黏剂', '聚氨酯']
1103:	['镜片', '后视镜', '脱模']
1104:	['墨水', '服装', '油墨']
1105:	['机械设备', '油缸', '液压缸']
1106:	[]
1107:	['防堵', '丙', '二胺']
1108:	['墙纸', '压花', '压延']
1109:	['焊接设备', '钢板', '转塔']
1110:	['坯布', '验布', '卷筒']
1111:	['双开门', '木门', '门扇']
1112:	['筒子', '丝光', '钳']
1113:	['便利', '电器', '照明灯']
1114:	[]
1115:	['层', '节叉', '中频']
1116:	['吸盘', '校平', '多次']
1117:	[]
1118:	['辊轴', '钢带', '高分子']
1119:	['驱蚊', '过滤网', '抗菌剂']
1120:	['泡沫', '装饰板', '混']
1121:	['生态化', '化岸坡', '直立式']
1122:	['刺绣', '装饰布', '硬']
1123:	['无纺布', '耳鼻喉科', '吸汗']
1124:	['螺头', '六角', '正多边形']
1125:	['线束', '接机', '冲压']
1126:	['分析', '尺', '工程造价']
1127:	['键配合', '封油', '花']
1128:	['平车', '封边', '绝缘纸']
1129:	['重合', '漏电', '闸']
1130:	['同步电机', '型式', '电抗器']
1131:	['ST', '椅脚', 'YH']
1132:	['淬火', '剔除', '缝针']
1133:	['安全梯', '型材', '桌椅']
1134:	[]
1135:	['漏电', 'USB', '船型']
1136:	['上料机', '纱筒', '卷筒']
1137:	['焊接设备', '螺柱', '钳']
1138:	['器件', '相框', '滑轨']
1139:	['笼', '立柱', '盖梁']
1140:	['温变', '瓶子', '磁性']
1141:	['微囊', '包膜', '制剂']
1142:	['串联', '中频', '电抗器']
1143:	[]
1144:	[]
1145:	['梁柱', '钢结构', '钢柱']
1146:	['门', '内六角', '弹簧机']
1147:	['抗风', '新款', '人']
1148:	['脚踏板', '高铁', '冲撞']
1149:	['灯泡', '筒灯', '反光']
1150:	['炭黑', '炭粉', '包装袋']
1151:	['童车', '滑板车', '方向盘']
1152:	['门', '预制', '窗框']
1153:	['骨架', '碳刷', '有刷']
1154:	['立柱', '磨砂', '防凝露']
1155:	['全热', '净化器', '室内空气']
1156:	['分子筛', '制氮', '废']
1157:	['遮蔽', '集成电路', '蚀刻']
1158:	['折叠式', '滤芯', 'pH']
1159:	['企业', '出入口', '门禁']
1160:	['刷', '罩壳', '雨刮器']
1161:	['塑料瓶', '吹瓶机', '胚']
1162:	['导热油', '高分子', '钢片']
1163:	[]
1164:	['软骨', '仿生', '包装袋']
1165:	['瓷砖', '胶管', '胶枪']
1166:	['灰', '敏感', '预制']
1167:	['肉', '鸭', '锁鲜装']
1168:	[]
1169:	['粉尘', '消化', '氢氧化钙']
1170:	['多腔', '导管', '喉罩']
1171:	[]
1172:	['逻辑', '业务', '层']
1173:	['道路', 'POS', '支付']
1174:	[]
1175:	['有效', '植被', '钻井']
1176:	['指纹锁', '感烟', '终端设备']
1177:	['活性污泥', '净化剂', '涂装']
1178:	['塑料制品', '吸塑机', '烘箱']
1179:	['地板', '家具', '芯']
1180:	['茶', '鲜叶', '茶叶']
1181:	['血栓', '袜', '护腰']
1182:	['单片', '段', '光谱']
1183:	['整理', '折盒机', '四边']
1184:	['骨架', '漏电', '电磁式']
1185:	['折叠式', '瓦', '风机']
1186:	[]
1187:	['办公椅', '椅脚', '护腰']
1188:	['直线轴承', '关节轴承', '制法']
1189:	['充填', '收放', '胶囊']
1190:	['剖', '分式', '弧度']
1191:	['配合', '美体', '调湿']
1192:	['光解', '分子筛', '涂装']
1193:	['焊接设备', '条', '电池组']
1194:	['信号灯', '爆闪灯', '复合型']
1195:	['边缘', '侧耳', '锅盖']
1196:	['3', '省力', '4']
1197:	['防错', '丝网', '导航系统']
1198:	['大灯', '前端', '存储']
1199:	['表单', '录入', '加解密']
1200:	['光交箱', '机柜', '存储']
1201:	['混凝土', '平口', '破碎']
1202:	['浇注', '液铸', '压砂']
1203:	[]
1204:	[]
1205:	['丝上', '涤纶丝', '喷头']
1206:	[]
1207:	[]
1208:	[]
1209:	['捕捉', '滤芯', '活性染料']
1210:	['溯源', '电子秤', '支付']
1211:	['焊条', '堆焊', '耐磨性']
1212:	['稳压', '水泵', '屏蔽']
1213:	['高跟鞋', '胶鞋', '型式']
1214:	['3D', '光固化', '负离子']
1215:	['修边', '多向', '拉杆箱']
1216:	['混凝土', '建造', '粉碎']
1217:	['聚酰亚', '密封件', '凹凸棒']
1218:	['水泵', '交流', '接触器']
1219:	['缸盖', '滤清器', '四保阀']
1220:	['抓手', '纳米材料', '自由度']
1221:	['氙灯', '多次', '反射']
1222:	['丢失', '应用服务器', '会话防']
1223:	[]
1224:	['汽轮机', '热水', '变频器']
1225:	['还原酶', '突变体', '磁性']
1226:	['楼宇', '医院', '小区']
1227:	['牌', '人员', '医院']
1228:	['感应器', '冷却水', '抓手']
1229:	['立体车库', '热水器', '桁架']
1230:	['散热器', '保险丝', '多个']
1231:	['铝材', '滤清器', '铝塑板']
1232:	['屈挠', '聚氨酯', '烘箱']
1233:	['淬火', '感应器', '换热器']
1234:	['保鲜膜', '塑料颗粒', '果蔬']
1235:	['滚边', '推盘', '接']
1236:	['执行机构', '2SA8', '减速器']
1237:	['阀门', '的', '多重调节']
1238:	[]
1239:	[]
1240:	['亲水', '血糖', '爬行']
1241:	['移动式', '水体', '磷化']
1242:	['电热', '复合型', '绝缘纸']
1243:	['船', '淤泥', '苗木']
1244:	[]
1245:	['风罩', '间隙', '轴类']
1246:	[]
1247:	['纺织机械', '纺纱', '编织']
1248:	[]
1249:	[]
1250:	[]
1251:	['骨架', '前轮', '性']
1252:	['真空蒸发', '镀膜机', '双层']
1253:	['游戏', 'TOF', '多目']
1254:	['纸盒', '机上', '卷筒']
1255:	['减速', '悬臂', '加热炉']
1256:	['相机', '配准', '多目']
1257:	[]
1258:	['环境空气', '叶绿素', '光谱']
1259:	['锁扣', '刹车片', '三轮']
1260:	['圆锥', '泡沫', '铁屑']
1261:	[]
1262:	['数据传输', '网关', 'USB']
1263:	['车道', '传感', '锂电池']
1264:	['有色金属', '预制板', '电厂']
1265:	['热封', '吸头', '包装袋']
1266:	['于海洋', '鱿鱼', '保鲜剂']
1267:	['重质', '钟乳石', '改性']
1268:	['条', '桐油', '反光膜']
1269:	['离合器', '皮带轮', '压装']
1270:	['粗', '钳', '机车']
1271:	['条', '球灯', '存储']
1272:	['滚字', '针型阀', '止流']
1273:	['燃气表', '修正', '远传']
1274:	[]
1275:	['工控机', '售卖', 'MC500']
1276:	['分析', '营销', '显示']
1277:	['同种', '异体', '骨']
1278:	['钴', '聚酯', '锑']
1279:	['齿轮箱', '风力', '圆柱']
1280:	['孔径', '偏差', '磨削']
1281:	['绝缘子', '锤', '型线']
1282:	['换热器', '喷枪', '涂装']
1283:	[]
1284:	['管件', '软管', '采油']
1285:	['BIM', '履带式', '钻机']
1286:	[]
1287:	['灯带', '育苗', '基带']
1288:	['供墨', '数码', '写真机']
1289:	['整理', '城市规划', '沙盘']
1290:	[]
1291:	['远程', '抄表', '环网柜']
1292:	['热力', '冷却水', '脱硝']
1293:	['六角', '高质量', '便']
1294:	['真皮', '行李箱', '加固']
1295:	['用纸', '胶', '烟']
1296:	['多向', '液器', '皂']
1297:	['橙', '乳化', '黑']
1298:	['绳扣', '金属', '冲压']
1299:	['修枝剪', '刷', '管用']
1300:	['全氢', '分析方法', 'ICP']
1301:	['作业', '考试', '实际操作']
1302:	['外骨骼', '减速器', '助行器']
1303:	[]
1304:	['瓷砖', '装饰板', '多效']
1305:	['不干胶', '切纸机', '卷筒']
1306:	[]
1307:	['投线', '滑块', '蜗轮']
1308:	['纸盒', '软', '造纸用']
1309:	[]
1310:	['管线', '振捣', '杠杆']
1311:	['针织布', '抗拉强度', '线头']
1312:	['金刚石', '高端', '聚晶']
1313:	['重合', '双电源', '闸']
1314:	['真空泵', '风力', '旋涡']
1315:	[]
1316:	['火线', '网关', '氛围']
1317:	['配音', '手机用户', '学习']
1318:	['热封', '制袋机', '风冷']
1319:	['重合', '漏电', '预付费']
1320:	['用纸', '不可', '杯子']
1321:	['逻辑', '锤', '双通道']
1322:	['偏置', '八', '恒温器']
1323:	['灯泡', '灯带', '节能灯']
1324:	['皮带', '压缩机', '曲轴']
1325:	['CNC', '刹车盘', '机车']
1326:	['圆锥', '驱动轮', '涨']
1327:	['楼宇', '门禁', 'UPS']
1328:	['铝材', '型腔', '包边']
1329:	['亚麻', '精梳', '纤维制品']
1330:	['废弃物', '菜', '薇']
1331:	['聚能', '站', '吸收式']
1332:	[]
1333:	['管件', '钢带', '排水管']
1334:	['碳纤维', '喷嘴', '气泡']
1335:	['海岛', '加弹机', 'Y']
1336:	['皮带', '永磁', '输送机']
1337:	['磁芯', '硒鼓', '激光打印机']
1338:	['镀膜机', '晶体', '晶片']
1339:	['分瓣机', '柑橘', '去皮']
1340:	['海运', '报价', '日志']
1341:	['POS', '支付', '密钥']
1342:	['胶合板', '弧形', '展具']
1343:	['人脸识别', '检票', '闸机']
1344:	['反光', '标贴', '防化学']
1345:	['导热', '染整', '吸湿']
1346:	['档位', '升降器', '窗玻璃']
1347:	['插片机', '大灯', '前大灯']
1348:	['航行', '串行', '温盐']
1349:	['快递', '吊牌', '折叠式']
1350:	['抛丸', '改进', '熔炼炉']
1351:	['仿生', '纱筒', '基体']
1352:	['ABS', '轮速', '后桥']
1353:	['电视机', '散热器', '盒子']
1354:	[]
1355:	['新颖', '探测', '系统漏洞']
1356:	['装袋', '调控', '蒸馏']
1357:	['快递', '大灯', '机车']
1358:	['玻', '无主栅', '排布']
1359:	['频道', '中频', '浇注']
1360:	['抽屉', '工具箱', '脱离']
1361:	['焊接设备', '桁架', '工字钢']
1362:	['反渗透膜', '三级', '污垢']
1363:	['站', '查询', '多媒体播放']
1364:	['服务器', '计算', 'IT']
1365:	['耙', '探测', '机车']
1366:	[]
1367:	['门', '测温', '光谱']
1368:	['图纸', '复古', '灌浆']
1369:	['干化', '疏通', '乏汽']
1370:	[]
1371:	['同步电机', '电能', '谐波']
1372:	[]
1373:	['等速', '传动装置', '三叉']
1374:	['磁盘', '容灾', '存储系统']
1375:	['彻底', '涂料', '接']
1376:	['分拣机', '专用设备', '阻挡']
1377:	[]
1378:	[]
1379:	['炉用', '陶瓷膜', '矿用']
1380:	[]
1381:	['条纹', '玻璃瓶', '能耗']
1382:	['浇注', '抛丸机', '制砂机']
1383:	['热电偶', 'K', '热流']
1384:	['滑板', '折叠式', '抗压']
1385:	['游动', '鞋机', '轨座']
1386:	['指路牌', '包装纸', '包装袋']
1387:	['进气', '标定', '流量计']
1388:	['废边', '铁丝', '链条']
1389:	['胡萝卜', '纸型', '贻贝']
1390:	['显示', '趣味性', '漂移']
1391:	[]
1392:	['风扇', '转页', '异步电机']
1393:	['底部', '纸管', '模切机']
1394:	['钢圈', '九折', '关节轴承']
1395:	['电镐', '交流', '汽油机']
1396:	[]
1397:	['灭弧', '智慧', '探测']
1398:	['导引', '二维码', '机器']
1399:	['显示屏', '显示终端', '病房']
1400:	['分子筛', '灌装机', '钻孔机']
1401:	[]
1402:	['钢绞线', '环氧', '拉索']
1403:	['咖啡', '染整', '针织物']
1404:	['制氧机', '转接', '油烟机']
1405:	['泡沫', '涂料', '预制']
1406:	['硬密封', '渗水', '生锈']
1407:	[]
1408:	[]
1409:	['卫生', '吸管', '塑盖']
1410:	['挂架', '对齐', '仪表板']
1411:	['轿厢', '门', '引轮']
1412:	['菌', '芳烃', '一株']
1413:	['导热', '蛋糕', '锅盖']
1414:	[]
1415:	['带头', '螺栓', '燃油箱']
1416:	['镀金', '电容式', '触摸屏']
1417:	['感应器', '集成电路', 'PC']
1418:	[]
1419:	[]
1420:	['沉浮', '水击', '项链']
1421:	['搓', '丝机', '螺栓']
1422:	['吸管', '茶叶', '锅盖']
1423:	['倒', '导纱', '胶囊']
1424:	['双色', '绸', '纺织印染']
1425:	['防盗锁', '油箱', '磁性']
1426:	[]
1427:	['办公椅', '面料', '钻孔机']
1428:	['进烟口', '油烟机', '风机']
1429:	['串联', '复合型', '电解液']
1430:	['钳', '桁架', '钳体']
1431:	['色谱', '串联', '试管']
1432:	['挂架', '底部', '高铁']
1433:	['底部', '拆膜', '三级']
1434:	['防暴', '捕捉', '复合型']
1435:	['链接', 'PC', '型材']
1436:	['爬行', '培训', '实训']
1437:	['压入', '转轴', '风机']
1438:	['抽屉', '高低压', '非晶']
1439:	['巾', '口水', '水刺']
1440:	[]
1441:	[]
1442:	['电缆线', '同步电机', '碳刷']
1443:	[]
1444:	['举升机', '机上', '滑板']
1445:	['拉杆', '拉杆箱', 'A079']
1446:	['水槽', '混色机', '工程塑料']
1447:	['鞋垫', '线缆', '安全鞋']
1448:	['离合器', '硬', '磨削']
1449:	['沟线', '张线', '型线']
1450:	['吸湿', '提花', '服装']
1451:	['胚', '坯布', '验布']
1452:	['冷却水', '玻璃瓶', '涂装']
1453:	['驱动轮', '减速', '霍尔']
1454:	['调味', '保鲜盒', '油壶']
1455:	['杂质', '求法', '井用']
1456:	['机上', '横机', '拉链']
1457:	['体外', '运载', 'β']
1458:	[]
1459:	['鉴定', '念珠菌', '基因突变']
1460:	[]
1461:	['偏置', '翻盖式', '塑料桶']
1462:	['摇臂钻', '机导杆', '驱动轮']
1463:	['同步电机', '制动器', '自励']
1464:	['预制', '齿形', '硬']
1465:	['变电站', '调控', '防凝露']
1466:	['旧', '后期', '钢柱']
1467:	['即时', '输料', '振捣']
1468:	['特种', '屏蔽', '抗震性']
1469:	['钙', '工业化生产', '氨基']
1470:	['减震器', '球头', '高可靠性']
1471:	['亲水', '链接', '亲水性']
1472:	[]
1473:	['下', '动态', '高可靠性']
1474:	['数码', '驱蚊', '窗帘布']
1475:	['染整', '棉衣', '女式']
1476:	['卡口', '可靠性', '过车']
1477:	['电能', '电换表', '接']
1478:	['螺栓', '冲压件', '五金']
1479:	['输液器', '吸痰', '导管']
1480:	['风扇', '同步电机', '触点']
1481:	['冻存盒', '血液', '转座酶']
1482:	['阶梯', '集装', '碳化硅']
1483:	['喷胶', '木制', '模板']
1484:	['钢丝网', '扩口', '聚丙烯']
1485:	['机柜', '防凝露', '微机']
1486:	[]
1487:	[]
1488:	['衣柜', '踢脚线', '实木']
1489:	['纳米银', '塑料桶', '脂质体']
1490:	['抗体', '柠檬酸', '抗原']
1491:	['开关插座', '墙壁', '排插']
1492:	['喷洒', '龙头', '改变']
1493:	[]
1494:	['天鹅', '收银机', '支付']
1495:	['球头', '软管', '冷器']
1496:	['天然气', '刮油', '复合管']
1497:	['混', '聚合物', '干']
1498:	['天然气', '硬密封', '管线']
1499:	['基布', '连结线', '排汗']
1500:	['胚', '啤酒', '吹瓶机']
1501:	['制成', '筒灯', '吸顶灯']
1502:	[]
1503:	['楼宇', '火盆', '取暖炉']
1504:	['热封', '快递', '包装机']
1505:	['逆流', '水循环', '风机']
1506:	['开孔器', '内六角', '批头']
1507:	['滑台', '集装', '高分子']
1508:	['硅油', '柔软剂', '氨基']
1509:	['熨烫', '喷气式', '服装']
1510:	['售卖机', '型材', '减速机']
1511:	['插销', '手术刀', '显示']
1512:	[]
1513:	['羊膜', '扩增', '实验']
1514:	['焦', '器件', '延迟线']
1515:	[]
1516:	['注入', '沸腾', '热脱']
1517:	['气室', '散热器', 'YML']
1518:	['导热油', '触摸屏', '卷筒']
1519:	['尼龙', '桁架', '变频器']
1520:	['滑板', '蛙式', '高车']
1521:	['交换器', '净化器', '进风']
1522:	['总烃', '水体', '污水处理']
1523:	['抽屉', '售货', '及防']
1524:	['熔体', '开炼机', '输送机']
1525:	['搅拌', '水泥', '系统']
1526:	['钙', '制剂', '汀']
